plate_pos,position,dst_well
1,A02,A03
1,A03,B03
1,A04,A04
1,A05,B04
1,A06,A05
1,A07,B05
1,A08,A06
1,A09,B06
1,A10,A07
1,A11,B07
1,B02,C03
1,B03,D03
1,B04,C04
1,B05,D04
1,B06,C05
1,B07,D05
1,B08,C06
1,B09,D06
1,B10,C07
1,B11,D07
1,C02,E03
1,C03,F03
1,C04,E04
1,C05,F04
1,C06,E05
1,C07,F05
1,C08,E06
1,C09,F06
1,C10,E07
1,C11,F07
1,D02,G03
1,D03,H03
1,D04,G04
1,D05,H04
1,D06,G05
1,D07,H05
1,D08,G06
1,D09,H06
1,D10,G07
1,D11,H07
1,E02,I03
1,E03,J03
1,E04,I04
1,E05,J04
1,E06,I05
1,E07,J05
1,E08,I06
1,E09,J06
1,E10,I07
1,E11,J07
1,F02,K03
1,F03,L03
1,F04,K04
1,F05,L04
1,F06,K05
1,F07,L05
1,F08,K06
1,F09,L06
1,F10,K07
1,F11,L07
1,G02,M03
1,G03,N03
1,G04,M04
1,G05,N04
1,G06,M05
1,G07,N05
1,G08,M06
1,G09,N06
1,G10,M07
1,G11,N07
1,H02,O03
1,H03,P03
1,H04,O04
1,H05,P04
1,H06,O05
1,H07,P05
1,H08,O06
1,H09,P06
1,H10,O07
1,H11,P07
2,A02,A08
2,A03,B08
2,A04,A09
2,A05,B09
2,A06,A10
2,A07,B10
2,A08,A11
2,A09,B11
2,A10,A12
2,A11,B12
2,B02,C08
2,B03,D08
2,B04,C09
2,B05,D09
2,B06,C10
2,B07,D10
2,B08,C11
2,B09,D11
2,B10,C12
2,B11,D12
2,C02,E08
2,C03,F08
2,C04,E09
2,C05,F09
2,C06,E10
2,C07,F10
2,C08,E11
2,C09,F11
2,C10,E12
2,C11,F12
2,D02,G08
2,D03,H08
2,D04,G09
2,D05,H09
2,D06,G10
2,D07,H10
2,D08,G11
2,D09,H11
2,D10,G12
2,D11,H12
2,E02,I08
2,E03,J08
2,E04,I09
2,E05,J09
2,E06,I10
2,E07,J10
2,E08,I11
2,E09,J11
2,E10,I12
2,E11,J12
2,F02,K08
2,F03,L08
2,F04,K09
2,F05,L09
2,F06,K10
2,F07,L10
2,F08,K11
2,F09,L11
2,F10,K12
2,F11,L12
2,G02,M08
2,G03,N08
2,G04,M09
2,G05,N09
2,G06,M10
2,G07,N10
2,G08,M11
2,G09,N11
2,G10,M12
2,G11,N12
2,H02,O08
2,H03,P08
2,H04,O09
2,H05,P09
2,H06,O10
2,H07,P10
2,H08,O11
2,H09,P11
2,H10,O12
2,H11,P12
3,A02,A13
3,A03,B13
3,A04,A14
3,A05,B14
3,A06,A15
3,A07,B15
3,A08,A16
3,A09,B16
3,A10,A17
3,A11,B17
3,B02,C13
3,B03,D13
3,B04,C14
3,B05,D14
3,B06,C15
3,B07,D15
3,B08,C16
3,B09,D16
3,B10,C17
3,B11,D17
3,C02,E13
3,C03,F13
3,C04,E14
3,C05,F14
3,C06,E15
3,C07,F15
3,C08,E16
3,C09,F16
3,C10,E17
3,C11,F17
3,D02,G13
3,D03,H13
3,D04,G14
3,D05,H14
3,D06,G15
3,D07,H15
3,D08,G16
3,D09,H16
3,D10,G17
3,D11,H17
3,E02,I13
3,E03,J13
3,E04,I14
3,E05,J14
3,E06,I15
3,E07,J15
3,E08,I16
3,E09,J16
3,E10,I17
3,E11,J17
3,F02,K13
3,F03,L13
3,F04,K14
3,F05,L14
3,F06,K15
3,F07,L15
3,F08,K16
3,F09,L16
3,F10,K17
3,F11,L17
3,G02,M13
3,G03,N13
3,G04,M14
3,G05,N14
3,G06,M15
3,G07,N15
3,G08,M16
3,G09,N16
3,G10,M17
3,G11,N17
3,H02,O13
3,H03,P13
3,H04,O14
3,H05,P14
3,H06,O15
3,H07,P15
3,H08,O16
3,H09,P16
3,H10,O17
3,H11,P17
4,A02,A18
4,A03,B18
4,A04,A19
4,A05,B19
4,A06,A20
4,A07,B20
4,A08,A21
4,A09,B21
4,A10,A22
4,A11,B22
4,B02,C18
4,B03,D18
4,B04,C19
4,B05,D19
4,B06,C20
4,B07,D20
4,B08,C21
4,B09,D21
4,B10,C22
4,B11,D22
4,C02,E18
4,C03,F18
4,C04,E19
4,C05,F19
4,C06,E20
4,C07,F20
4,C08,E21
4,C09,F21
4,C10,E22
4,C11,F22
4,D02,G18
4,D03,H18
4,D04,G19
4,D05,H19
4,D06,G20
4,D07,H20
4,D08,G21
4,D09,H21
4,D10,G22
4,D11,H22
4,E02,I18
4,E03,J18
4,E04,I19
4,E05,J19
4,E06,I20
4,E07,J20
4,E08,I21
4,E09,J21
4,E10,I22
4,E11,J22
4,F02,K18
4,F03,L18
4,F04,K19
4,F05,L19
4,F06,K20
4,F07,L20
4,F08,K21
4,F09,L21
4,F10,K22
4,F11,L22
4,G02,M18
4,G03,N18
4,G04,M19
4,G05,N19
4,G06,M20
4,G07,N20
4,G08,M21
4,G09,N21
4,G10,M22
4,G11,N22
4,H02,O18
4,H03,P18
4,H04,O19
4,H05,P19
4,H06,O20
4,H07,P20
4,H08,O21
4,H09,P21
4,H10,O22
4,H11,P22
